in.county,time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2],totalPredicted
G4500010,2018-07-01T04:00:00Z,27.4,96.99,0,0,0,0,0,88.07436840153375
G4500010,2018-07-01T05:00:00Z,27.2,96.99,0,0,0,0,0,85.71810771700811
G4500010,2018-07-01T06:00:00Z,27.2,100,0,0,6,26.5,5.5,78.81569523248595
G4500010,2018-07-01T07:00:00Z,28.9,96.45,0,33.33,106,317,49.5,59.9175925909613
G4500010,2018-07-01T08:00:00Z,31.1,82.07,0,0,292.5,583,79.5,61.15830813025924
G4500010,2018-07-01T09:00:00Z,32.4,74.26,0.75,120,490.5,715,96.5,65.94322963965271
G4500010,2018-07-01T10:00:00Z,32.8,71.6,1.5,0,650.5,717,135,65.34848428311378
G4500010,2018-07-01T11:00:00Z,33.3,69.55,2.77,85,779,742.5,152,69.54875251644768
G4500010,2018-07-01T12:00:00Z,34.4,63.29,2.6,80,891.5,790.5,151,81.29069829096095
G4500010,2018-07-01T13:00:00Z,34.4,65.25,2.1,120,888.5,679.5,224.5,76.47970861941944
G4500010,2018-07-01T14:00:00Z,36.1,59.19,3.1,100,746.5,461,302,116.2593781325833
G4500010,2018-07-01T15:00:00Z,35,65.38,2.6,100,788,642.5,209,93.15706577449356
G4500010,2018-07-01T16:00:00Z,33.870000000000005,74.35,4.3,90,423,153.5,299.5,118.24944896779016
G4500010,2018-07-01T17:00:00Z,32.2,82.2,1.5,330,249,63.5,208.5,113.7193645930686
G4500010,2018-07-01T18:00:00Z,29.12,96.45,2.98,313.33,129.5,17.5,120.5,92.05437676375354
G4500010,2018-07-01T19:00:00Z,30,93.62,1.5,360,42.5,4,41.5,118.69100688747041
G4500010,2018-07-01T20:00:00Z,30.33,87,0,120,8.5,5,8.5,130.06727523897547
G4500010,2018-07-01T21:00:00Z,28.9,96.45,0,0,0,0,0,106.29963282395696
G4500010,2018-07-01T22:00:00Z,28.9,96.45,0,13.33,0,0,0,106.35238365440063
G4500010,2018-07-01T23:00:00Z,28.3,100,0,0,0,0,0,95.93928420650886
G4500010,2018-07-02T00:00:00Z,28.9,96.45,1.5,190,0,0,0,111.42932216988676
G4500010,2018-07-02T01:00:00Z,28.3,97.02,0,110,0,0,0,99.12232285043723
G4500010,2018-07-02T02:00:00Z,27.2,100,0,126.67,0,0,0,83.45518194128394
G4500010,2018-07-02T03:00:00Z,27.2,100,0,73.33,0,0,0,83.25490864130495
G4500010,2018-07-02T04:00:00Z,27.87,96.42,0,0,0,0,0,94.19668628292177
G4500010,2018-07-02T05:00:00Z,27.1,100,0,0,0,0,0,81.80172009935453
G4500010,2018-07-02T06:00:00Z,27,98.02,0,0,3.5,4.5,3.5,81.23559643258639
G4500010,2018-07-02T07:00:00Z,28.9,96.45,1.5,90,54.5,19,51.5,98.33791745372481
G4500010,2018-07-02T08:00:00Z,29.4,97.04,0,0,100.5,5,98.5,90.90152821406447
G4500010,2018-07-02T09:00:00Z,30.55,84.59,1.1,127.5,217.5,29,201,95.83837243404292
G4500010,2018-07-02T10:00:00Z,31.95,76.92,0.75,260,298,40,268.5,103.71073198415954
G4500010,2018-07-02T11:00:00Z,32.2,79.28,1.05,83.33,581,217,395,57.02380255300707
G4500010,2018-07-02T12:00:00Z,33.85,67.68,0.75,0,722,362.5,380,70.92278164543048
G4500010,2018-07-02T13:00:00Z,35,63.04,1.5,70,946,809,155.5,81.80110403310763
G4500010,2018-07-02T14:00:00Z,35,63.04,2.1,66.67,878.5,678.5,224,85.77958923290967
G4500010,2018-07-02T15:00:00Z,35.6,60.91,1.5,300,856,763,166.5,95.82198403889637
G4500010,2018-07-02T16:00:00Z,36.4,59.19,1.8,310,723.5,698,165,116.91276962184679
G4500010,2018-07-02T17:00:00Z,29.75,97.02,3.77,204,296.5,173,179,70.15985723964499
G4500010,2018-07-02T18:00:00Z,31.33,84.65,1.9,90,42.5,1,42,143.12595519628428
G4500010,2018-07-02T19:00:00Z,32.8,79.37,0,0,12,0,12,165.7034941700556
G4500010,2018-07-02T20:00:00Z,30.6,96.49,0,106.67,4,2.5,4,125.6626060037914
G4500010,2018-07-02T21:00:00Z,30.6,96.49,0,0,0,0,0,126.36102343390387
G4500010,2018-07-02T22:00:00Z,30,96.48,1.5,160,0,0,0,124.3065355657297
G4500010,2018-07-02T23:00:00Z,29,98.24,0,0,0,0,0,105.8764329846106
G4500010,2018-07-03T00:00:00Z,28,100,0,0,0,0,0,92.45568102834577
G4500010,2018-07-03T01:00:00Z,28.9,100,1.5,70,0,0,0,107.73852575353354
G4500010,2018-07-03T02:00:00Z,28.3,100,0,93.33,0,0,0,96.35183962401598
G4500010,2018-07-03T03:00:00Z,27.67,96.08,0,90,0,0,0,92.54457880916073
G4500010,2018-07-03T04:00:00Z,27.8,100,1.86,154,0,0,0,96.14899302820378
G4500010,2018-07-03T05:00:00Z,27.65,100,0,3.33,0,0,0,88.35188660524976
G4500010,2018-07-03T06:00:00Z,27.2,100,0,0,5.5,24.5,5,79.24699976292374
G4500010,2018-07-03T07:00:00Z,30,90.3,0,0,105.5,317.5,50,78.41756412927064
G4500010,2018-07-03T08:00:00Z,31.1,90.38,0,26.67,289.5,566,84.5,54.64482308223833
G4500010,2018-07-03T09:00:00Z,33.3,82.34,0,33.33,487.5,696,105.5,67.07634863685075
G4500010,2018-07-03T10:00:00Z,35,72,2.6,40,670,766.5,122.5,91.02332239050477
G4500010,2018-07-03T11:00:00Z,35,69.87,2.6,90,813.5,794,142.5,84.56262242323238
G4500010,2018-07-03T12:00:00Z,36.1,61.39,1.5,40,888.5,762.5,176,98.17459665138375
G4500010,2018-07-03T13:00:00Z,36.7,59.34,0,13.33,870.5,643,242.5,103.4507146365429
G4500010,2018-07-03T14:00:00Z,37.2,55.61,1.5,33.33,885.5,680,228.5,115.65130707616629
G4500010,2018-07-03T15:00:00Z,38.9,52.43,3.1,360,762.5,545.5,271.5,152.83392628517896
G4500010,2018-07-03T16:00:00Z,36.85,59.34,2.35,345,559.5,311.5,306.5,141.9269750973955
G4500010,2018-07-03T17:00:00Z,35.42,72,0.75,15,118.5,4.5,115.5,183.98214721168603
G4500010,2018-07-03T18:00:00Z,33.15,72.13,2.85,185,201.5,126,142,144.1428964706714
G4500010,2018-07-03T19:00:00Z,28.65,93.54,4.9,180,105,74.5,85.5,95.07824452214362
G4500010,2018-07-03T20:00:00Z,28.03,96.42,3.93,233.33,32.5,32,29,99.00381909832174
G4500010,2018-07-03T21:00:00Z,27.7,100,1.68,286.67,0,0,0,94.98177296591766
